Date,Close
1/4/2021,60.14
1/5/2021,61.7
1/6/2021,65.25
1/7/2021,66.02
1/8/2021,65.37
1/11/2021,66.44
1/12/2021,66.67
1/13/2021,66.86
1/14/2021,69.01
1/15/2021,64.23
1/19/2021,63.69
1/20/2021,63.25
1/21/2021,61.87
1/22/2021,61.33
1/25/2021,60.56
1/26/2021,60.91
1/27/2021,59.4
1/28/2021,60.34
1/29/2021,57.99
2/1/2021,58.43
2/2/2021,59.58
2/3/2021,61.1
2/4/2021,62.41
2/5/2021,62.58
2/8/2021,63.65
2/9/2021,63.12
2/10/2021,63.62
2/11/2021,63.2
2/12/2021,63.63
2/16/2021,64.12
2/17/2021,64.76
2/18/2021,63.48
2/19/2021,65.78
2/22/2021,65.52
2/23/2021,66.74
2/24/2021,68.6
2/25/2021,67.41
2/26/2021,65.88
3/1/2021,69.54
3/2/2021,68.91
3/3/2021,70.38
3/4/2021,69.81
3/5/2021,70.23
3/8/2021,72.22
3/9/2021,70.99
3/10/2021,73.75
3/11/2021,73.31
3/12/2021,75.18
3/15/2021,74.22
3/16/2021,73.33
3/17/2021,73.6
3/18/2021,73.84
3/19/2021,73.01
3/22/2021,71.96
3/23/2021,70.91
3/24/2021,70.08
3/25/2021,71.72
3/26/2021,73.02
3/29/2021,71.58
3/30/2021,72.96
3/31/2021,72.75
4/1/2021,73.14
4/5/2021,72.75
4/6/2021,72.6
4/7/2021,72.69
4/8/2021,72.33
4/9/2021,72.42
4/12/2021,72.69
4/13/2021,72.06
4/14/2021,72.91
4/15/2021,72.54
4/16/2021,72.45
4/19/2021,72.13
4/20/2021,69.79
4/21/2021,70.65
4/22/2021,69.81
4/23/2021,71.38
4/26/2021,72.2
4/27/2021,72.99
4/28/2021,72.91
4/29/2021,73.84
4/30/2021,71.24
5/3/2021,71.71
5/4/2021,72.33
5/5/2021,73.71
5/6/2021,74.78
5/7/2021,75.08
5/10/2021,75.13
5/11/2021,74.87
5/12/2021,74.23
5/13/2021,75.29
5/14/2021,76.56
5/17/2021,77.42
5/18/2021,76.62
5/19/2021,76.46
5/20/2021,76.2
5/21/2021,77.65
5/24/2021,78.03
5/25/2021,77.28
5/26/2021,77.52
5/27/2021,78.76
5/28/2021,78.71
6/1/2021,79.76
