Date,Close
1/4/2021,84.52
1/5/2021,86.08
1/6/2021,87.71
1/7/2021,88.12
1/8/2021,88.5
1/11/2021,88.33
1/12/2021,89.07
1/13/2021,89.45
1/14/2021,90.04
1/15/2021,89.29
1/19/2021,89.15
1/20/2021,89.04
1/21/2021,88.41
1/22/2021,87.25
1/25/2021,87.01
1/26/2021,87.33
1/27/2021,85.53
1/28/2021,86.17
1/29/2021,85.18
2/1/2021,84.89
2/2/2021,86.25
2/3/2021,87.46
2/4/2021,87.8
2/5/2021,88.49
2/8/2021,88.9
2/9/2021,89.01
2/10/2021,89.07
2/11/2021,88.96
2/12/2021,89.32
2/16/2021,89.82
2/17/2021,89.82
2/18/2021,90.1
2/19/2021,90.96
2/22/2021,91.25
2/23/2021,92.4
2/24/2021,94.3
2/25/2021,93.6
2/26/2021,92.17
3/1/2021,93.55
3/2/2021,94.97
3/3/2021,95.78
3/4/2021,95.71
3/5/2021,96.83
3/8/2021,97.18
3/9/2021,97.7
3/10/2021,98.66
3/11/2021,98.93
3/12/2021,99.8
3/15/2021,99.27
3/16/2021,99.91
3/17/2021,100.76
3/18/2021,101.21
3/19/2021,101.16
3/22/2021,100.57
3/23/2021,99.62
3/24/2021,100.11
3/25/2021,100.45
3/26/2021,99.52
3/29/2021,98.5
3/30/2021,98.23
3/31/2021,97.87
4/1/2021,98.71
4/5/2021,99.29
4/6/2021,98.76
4/7/2021,98.57
4/8/2021,98.62
4/9/2021,98.9
4/12/2021,99.08
4/13/2021,98.99
4/14/2021,99.36
4/15/2021,99.08
4/16/2021,99.77
4/19/2021,99.39
4/20/2021,97.93
4/21/2021,99.49
4/22/2021,99.93
4/23/2021,101.4
4/26/2021,102.28
4/27/2021,102.57
4/28/2021,103.29
4/29/2021,104.06
4/30/2021,103.96
5/3/2021,104.45
5/4/2021,104.48
5/5/2021,105.53
5/6/2021,107.1
5/7/2021,107.67
5/10/2021,108.16
5/11/2021,107.69
5/12/2021,107.01
5/13/2021,108.33
5/14/2021,109.38
5/17/2021,110.44
5/18/2021,110.49
5/19/2021,110.37
5/20/2021,111.38
5/21/2021,112.25
5/24/2021,112.57
5/25/2021,112.39
5/26/2021,113.02
5/27/2021,117.31
5/28/2021,117.87
6/1/2021,119.14
